Year,Period ID,Period,Area,Adjusted,Labor Force,Employment,Unemployment,Unemployment Rate
"2016","00","Annual","Hays County","Not Adj","101,898","98,498","3,400","3.3"
"2015","00","Annual","Hays County","Not Adj","98,153","94,786","3,367","3.4"
"2014","00","Annual","Hays County","Not Adj","93,897","89,887","4,010","4.3"
"2013","00","Annual","Hays County","Not Adj","90,011","85,232","4,779","5.3"
"2012","00","Annual","Hays County","Not Adj","85,818","80,810","5,008","5.8"
"2011","00","Annual","Hays County","Not Adj","83,333","77,746","5,587","6.7"
"2010","00","Annual","Hays County","Not Adj","80,387","74,737","5,650","7.0"
"2009","00","Annual","Hays County","Not Adj","78,949","73,750","5,199","6.6"
"2008","00","Annual","Hays County","Not Adj","76,598","73,340","3,258","4.3"
"2007","00","Annual","Hays County","Not Adj","73,243","70,537","2,706","3.7"
