VALUE,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Less than $50,000","2,201","1,062","2,161","2,037","2,798","3,161","1,890","2,824","2,761","1,763","1,447"
"$50,000 to $99,999","2,918","3,320","3,454","3,141","3,480","4,623","3,561","4,083","4,517","3,568","3,840"
"$100,000 to $149,999","6,943","6,025","7,137","7,456","6,731","8,187","8,340","7,196","5,834","5,492","4,389"
"$150,000 to $199,999","5,171","6,552","6,256","7,051","9,435","7,831","7,780","6,717","8,985","9,395","9,016"
"$200,000 to $299,999","4,752","6,124","5,851","5,792","7,197","6,447","7,208","10,254","7,926","9,328","11,586"
"$300,000 to $499,999","4,082","4,692","4,852","4,911","5,598","5,432","6,930","6,237","6,478","8,889","9,184"
"$500,000 to $999,999",785,"1,103","1,314","1,489","1,784","1,133","1,595","1,810","2,126","2,465","3,571"
"$1,000,000 or more",254,394,342,"1,069",389,47,460,630,318,417,564
Median (dollars),"161,800","174,600","170,200","172,600","178,500","162,300","178,900","191,400","183,400","203,900","222,500"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
