SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Housing unit without a mortgage,"6,126","8,325","9,032","8,521","10,055","9,423","9,176","11,940","11,537","12,304","13,263"
Less than 10.0 percent,"1,765","3,521","4,012","2,962","4,110","3,934","3,061","5,794","4,611","4,611","6,506"
10.0 to 14.9 percent,"1,359","2,026","1,461","1,633","2,040","2,388","2,210","1,944","1,941","2,893","2,824"
15.0 to 19.9 percent,608,987,"1,086","1,553","1,068",938,"1,579","1,224","1,029","1,183","1,799"
20.0 to 24.9 percent,454,421,689,622,706,685,435,675,"1,890",683,508
25.0 to 29.9 percent,909,408,406,589,427,14,516,388,378,142,495
30.0 to 34.9 percent,566,216,514,411,366,427,497,395,213,792,90
35.0 percent or more,403,746,864,751,"1,338","1,037",878,"1,520","1,475","2,000","1,041"
Not computed,62,0,228,0,294,34,33,0,192,70,40
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
