SELECTED MONTHLY OWNER COSTS (SMOC),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,
Housing units with a mortgage,"67,646",70176,"74,115","79,934","80,318","80,830","82,526","80,534","86,936","87,071",,,,,
Less than $500,319,409,378,499,394,297,1308,1156,493,106,,,,,
$500 to $999,5970,5701,5729,6034,7335,6810,"7,003","6,287","5,192","6,148",,,,,
"$1,000 to $1,499","25,157","23,247","25,859","27,209","26,638","28,615","29,006","27,652","28,518","24,479",,,,,
"$1,500 to $1,999","20,153","23,204","23,923","25,597","22,632","25,270","26,817","23,770","26,355","26,599",,,,,
$2000 or more,"16,047","17,615","18,226","20,595","23,319","19,838","18,392",21669,"26,378","29,739",,,,,
Median (dollars),"1,553","1,605","1,588","1,600","1,612","1,581","1,566","1,602","1,646","1,702",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,*
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
