MORTGAGE STATUS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,
Owner-occupied units,"88,174","91,625","94,239","100,598","104,671","104,293","112,744","110,714","119,375","117,637",,,
Housing units with a mortgage,70451,73025,74166,"79,934","80,318","80,830","82,526","80,534","86,936","87,071",,,
Housing units without a mortgage,"17,723","18,600","20,073","20,664","24,353","23,463","30,218","30,180","32,439","30,566",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
