MOVE IN YEAR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Occupied housing units,,,,,,,"161,887","164,805","170,987","173,125"
Moved in 2010 or Later,,,,,,,"61,540","136,422","89,612","103,889"
Moved in 2000 to 2009,,,,,,,"69,134","18,128","52,657","45,247"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,Occupied housing units,,"+/-2,119","161,887",(X),,
,,,,Moved in 2010 or later,,"+/-2,795",38.00%,+/-1.6,,
,,,,Moved in 2000 to 2009,,"+/-3,260",,,,
,,,,Moved in 1990 to 1999,,,,,,
